X1,Provider.Type,Doctor Identifier,Number.of.Services,Number.of.Beneficiaries,Total.Submitted.Charge.Amount,Total.Allowed.Amount,Total.Payment.Amount,Total.Standardized.Payment.Amount,Number.of.Drug.Services,Total.Drug.Submitted.Charge.Amount,Total.Drug.Allowed.Amount,Total.Drug.Payment.Amount,Total.Drug.Standardized.Payment.Amount,Number.of.Medical.Services,Percent.Atrial.Fibrillation,Percent.Alzheimer.s.Disease.or.Dementia,Percent.Asthma,Percent.Cancer,Percent.Heart.Failure,Percent.Chronic.Kidney.Disease,Percent.Chronic.Obstructive.Pulmonary.Disease,Percent.Depression,Percent.Diabetes,Percent.Hyperlipidemia,Percent.Hypertension,Percent.Ischemic.Heart.Disease,Percent.Osteoporosis,Percent.Rheumatoid.Arthritis.or.Osteoarthritis,Percent.Schizophrenia.or.Other.Psychotic.Disorders,Percent.Stroke,Average.HCC.Risk.Score.of.Beneficiaries,Freq,Specialty.Category,Risk.x,Risk.y
2759,Clinical Psychologist,445279458,132,123,85104,24648.09,18817.28,18308.04,0,0,0,0,0,132,33,24,23,17,60,57,33,41,41,66,75,63,19,46,16,11,3.3,422,Psychiatry,0.490966486391235,0.508266681304076
2760,Clinical Psychologist,638519948,413,276,408687,71174.51,55255.59,53587.83,0,0,0,0,0,413,10,7,14,10,19,23,13,33,25,46,58,27,13,39,5,0.5,1.33,422,Psychiatry,0.384208103171156,0.405179166734681
2761,Clinical Psychologist,342610669,500,203,154432,38529.16,27887.65,32308.09,0,0,0,0,0,500,8,19,16,7,21,33,15,75,32,47,66,34,9,38,24,7,1.67,422,Psychiatry,0.417390331671095,0.44520200260806
2762,Clinical Psychologist,786997073,277,11,38830,23827.39,18176.11,18028.28,0,0,0,0,0,277,0,0,0.62,0.46,0,1.21,0.73,1.37,1.16,2.04,2.39,0,0,1.46,0.4,0.29,0.81,422,Psychiatry,0.4488529705812,0.464993418862252
2763,Clinical Psychologist,286597777,874,375,366465,166805.27,127249.85,130152.78,42,378,144.12,113,113,832,14,29,12,11,18,27,15,45,30,63,69,35,12,39,9,28,1.58,422,Psychiatry,0.430515458734191,0.46769703068288
2764,Clinical Psychologist,701087441,447,85,84031,37116.59,26875.4,26536.77,0,0,0,0,0,447,1.16,14,15,0.9,1.75,21,1.35,75,22,41,49,21,0.68,22,58,0.54,1.7,422,Psychiatry,0.453032550130928,0.442701863746924
2765,Clinical Psychologist,366560719,599,107,61753.09,25975.63,20720.71,20247.51,210,8315.2,4087.68,3810.34,3810.34,389,1.65,1.31,17,1.49,19,32,17,27,29,68,60,33,1.17,42,0.61,0.61,1.37,422,Psychiatry,0.433726875265872,0.449309519876608
2766,Clinical Psychologist,793099340,528,116,57074,37174.07,25590.49,34347.83,0,0,0,0,0,528,0,3.08,14,1.34,3.76,4.54,13,69,18,25,33,13,1.24,24,17,1.15,1.27,422,Psychiatry,0.432211233291103,0.454549550403072
2767,Clinical Psychologist,548832087,783,198,138370,70219.83,58248.49,54663.55,133,12350,7665.82,7512.23,7512.23,650,13,12,10,14,18,20,7,18,20,46,58,30,10,44,1.27,1.36,1.17,422,Psychiatry,0.45197109571477,0.47407968904699
2768,Clinical Psychologist,475659747,881,162,75187.5,34420.53,25939.64,25952.61,0,0,0,0,0,881,1.28,1.29,18,0.99,1.91,15,11,38,22,63,59,19,0.76,53,0.71,0.59,0.92,422,Psychiatry,0.395187801159053,0.415027243290602
2769,Clinical Psychologist,755824482,2228,767,435265.5,221650.06,159192.31,149954.64,56,2640,2258.1,2189.24,2189.24,2172,16,15,20,13,25,34,19,38,35,61,75,35,9,43,8,8,1.53,422,Psychiatry,0.471386280406447,0.477739807294383
2770,Clinical Psychologist,745217743,7519,2160,511780,359685.65,249174.91,245937.04,0,0,0,0,0,7519,23,44,15,11,33,36,21,40,34,53,75,42,13,45,15,12,1.75,422,Psychiatry,0.535507965786668,0.5455773000243
2771,Clinical Psychologist,626960639,251,12,31525,16133.51,12312.75,12315.23,0,0,0,0,0,251,0,0.47,0.42,0.3,0.64,0.8,0.49,0.92,0.77,1.35,1.58,0.89,0.24,0.97,0,0.2,0.96,422,Psychiatry,0.446677129339501,0.459708276614724
2772,Clinical Psychologist,332419316,875,328,195605,167514.02,124964.12,116055.47,0,0,0,0,0,875,9,8,8,10,13,27,7,18,32,47,61,25,9,27,2.65,2.41,1.26,422,Psychiatry,0.409687262526584,0.427032017864604
2773,Clinical Psychologist,743687914,531,354,135727,43752.51,32085.52,30802.33,0,0,0,0,0,531,12,10,8,12,12,17,9,24,21,47,56,28,12,37,5,0.9,1.2,422,Psychiatry,0.378006692840593,0.399691204702438
2774,Clinical Psychologist,419926647,264,134,289554,18713.73,14443.49,14469.45,0,0,0,0,0,264,22,13,15,18,36,51,20,40,37,59,72,41,0,53,0,11,2.56,422,Psychiatry,0.422089570267111,0.457677402300393
2775,Clinical Psychologist,861757832,1197,235,1455878,223600.24,174341.17,155960.82,0,0,0,0,0,1197,13,10,14,10,16,28,18,32,29,66,75,37,9,36,7,32,1.35,422,Psychiatry,0.448595460933877,0.484755881754996
2776,Clinical Psychologist,757281884,144,79,30061.96,11810.04,7862.97,7635.11,0,0,0,0,0,144,0.56,0.52,16,0.45,25,28,16,30,30,41,54,19,16,62,0.28,0.25,2.03,422,Psychiatry,0.425754262052568,0.415647798149077
2777,Clinical Psychologist,968252143,151,12,22650,9864.11,7288.64,7227.61,0,0,0,0,0,151,0.27,0,0,0.2,0.41,0,0,0.58,0.5,0.89,1.04,0.58,0.16,0.64,0,0,0.57,422,Psychiatry,0.455011377545644,0.460629439829951
2778,Clinical Psychologist,481168522,477,75,20159.01,20016.84,14792.03,14559.48,0,0,0,0,0,477,0.81,0.83,0.81,0.63,1.22,21,0.93,19,21,49,61,21,0.48,53,0,0.37,0.9,422,Psychiatry,0.38428693112867,0.391339737725053
2779,Clinical Psychologist,344983414,335,317,128633,56477.81,44169.94,51591.74,0,0,0,0,0,335,28,33,39,19,50,58,49,51,48,75,75,59,14,47,19,18,2.38,422,Psychiatry,0.484460041099299,0.531686190544334
2780,Clinical Psychologist,428820082,405,174,188105,75184.21,57516.97,59807.52,0,0,0,0,0,405,14,15,18,9,18,29,25,36,36,48,68,36,1.36,42,10,7,1.51,422,Psychiatry,0.388009233462539,0.421167399256102
2781,Clinical Psychologist,983739690,146,133,275392.2,42602.2,33225.23,33003.19,0,0,0,0,0,146,16,0.38,14,33,17,35,15,32,29,60,74,38,0.29,29,0.2,0.22,2,422,Psychiatry,0.405340203177026,0.440210841995095
2782,Clinical Psychologist,653443199,5123,376,540893.01,223351.53,172190.6,160868.59,260,8737.01,4407.45,4198.95,4198.95,4863,15,6,9,19,15,16,8,11,23,58,61,30,5,30,2.4,5,1.06,422,Psychiatry,0.519796501455884,0.510768161316355
2783,Clinical Psychologist,571161083,131,36,15900,9087.11,6990.66,6923.25,0,0,0,0,0,131,36,72,0.34,0.26,47,58,0.39,75,31,50,75,50,0.2,72,0.19,0.16,2.16,422,Psychiatry,0.500674237783941,0.488880255380618
2784,Clinical Psychologist,281689076,289,156,77270,22873.58,16452.82,16152.1,0,0,0,0,0,289,11,9,16,15,18,33,9,35,31,33,69,37,11,44,0.44,0.41,1.6,422,Psychiatry,0.381486718100507,0.401014042933885
2785,Clinical Psychologist,375080688,384,40,21545,12410.41,9443.46,8975.77,0,0,0,0,0,384,0.38,0,0.37,0.31,0.56,0.73,0.42,0.75,0.72,53,53,0.84,0.23,75,0.19,0.17,0.91,422,Psychiatry,0.426131959882704,0.430063410396915
2786,Clinical Psychologist,527420966,1462,1173,691190,201232.11,152408.77,151248.45,0,0,0,0,0,1462,20,26,22,12,33,35,23,45,33,61,74,41,13,45,17,10,1.71,422,Psychiatry,0.46513365171435,0.486285816440847
2787,Clinical Psychologist,922045371,350,147,218935,53004.48,41724.47,40079.14,0,0,0,0,0,350,14,9,20,20,23,31,20,35,26,50,61,36,13,39,11,0.44,1.47,422,Psychiatry,0.393298985726833,0.411654813565596
2788,Clinical Psychologist,764171561,543,505,625318,80154.78,62881.18,63328.03,0,0,0,0,0,543,21,10,19,23,23,30,19,28,27,66,75,40,11,52,5,8,1.5,422,Psychiatry,0.407927253960062,0.433767240962317
2789,Clinical Psychologist,972879987,331,214,76600,31406.55,22348.84,21719.63,0,0,0,0,0,331,10,1.36,9,11,12,24,7,18,49,64,62,23,6,34,0.72,0.67,1.17,422,Psychiatry,0.379555211961504,0.40148200853521
2790,Clinical Psychologist,484788672,933,416,131888.56,74630.82,55766.74,55234.94,0,0,0,0,0,933,10,7,12,13,18,30,11,25,20,47,59,30,8,32,1.76,6,1.96,422,Psychiatry,0.397607594209672,0.39858950503012
2791,Clinical Psychologist,801710506,82,78,47183.5,11292.03,8843.44,8813.46,0,0,0,0,0,82,17,0.36,0.41,24,21,18,0.46,29,26,58,67,38,0.24,27,0.19,0.18,1.62,422,Psychiatry,0.39992369419304,0.42277144010288
2792,Clinical Psychologist,261529130,832,408,86875.6,26293.77,20976.79,20842.07,0,0,0,0,0,832,8,3,12,53,9,19,15,25,27,68,65,32,18,50,0.76,4,1.4,422,Psychiatry,0.428746780892062,0.459992321555717
2793,Clinical Psychologist,668151328,44,35,14898.44,9270.09,6984.33,7700.84,0,0,0,0,0,44,0.43,0.5,0.45,0.3,0.67,0.84,0.53,43,31,49,49,0.92,0.24,40,0.29,0.21,1.37,422,Psychiatry,0.394509183181363,0.408640929222448
2794,Clinical Psychologist,959135254,70650,825,3935859.18,1694564.66,1321602.43,1312623.73,62559,2674902.18,1253500.44,982536.72,982536.72,8091,15,12,16,37,28,41,22,32,40,63,75,37,10,42,6,5,1.89,422,Psychiatry,0.670269738227327,0.67429224082977
2795,Clinical Psychologist,869820466,3486,104,151690,104728.66,80533.5,75897.49,0,0,0,0,0,3486,2.28,2.34,12,1.86,11,24,2.53,20,36,51,74,25,12,58,1.22,1.04,1.2,422,Psychiatry,0.418001541715584,0.42839422327244
2796,Clinical Psychologist,809736148,201,13,39950,19190.37,14285.52,14371.18,0,0,0,0,0,201,0.52,0.59,0.53,0.38,0.81,1.02,0.62,1.17,0.97,1.7,2,1.13,0.3,1.22,0.34,0,1,422,Psychiatry,0.448817085676611,0.461375068043739
2797,Clinical Psychologist,470736269,273,128,239094,76870.2,57506.32,57337.07,0,0,0,0,0,273,13,2.08,21,9,13,23,14,41,34,57,66,30,1.14,45,1.17,0.93,1.36,422,Psychiatry,0.37797712908296,0.402586683965999
2798,Clinical Psychologist,188643813,3935,2766,501612,147779.34,114069.89,113920.6,0,0,0,0,0,3935,16,18,25,15,24,36,27,35,35,55,74,33,10,49,7,9,1.6,422,Psychiatry,0.468097423660833,0.474067238225207
2799,Clinical Psychologist,892900509,927,24,51465,26217.98,20489.6,19494.31,0,0,0,0,0,927,0.49,0,0.47,0.4,0.73,0.94,0,1,0.94,67,75,1.09,0.29,71,0.27,0.22,0.92,422,Psychiatry,0.446606152650362,0.451984744932687
2800,Clinical Psychologist,399141013,4714,1529,952360,338598.96,260865.58,246421.86,171,17945,7573.24,6968.19,6968.19,4543,26,22,20,16,38,41,27,32,37,62,75,47,12,40,11,9,1.73,422,Psychiatry,0.567118670767692,0.57671692363104
2801,Clinical Psychologist,443550076,2070,254,196845.89,73339.2,63155.47,62260.49,146,28526,15492.78,15163.04,15163.04,1924,11,4,11,7,12,26,9,16,22,54,63,26,13,32,1.85,1.93,0.92,422,Psychiatry,0.508637289953242,0.49665287981223
2802,Clinical Psychologist,883165027,58,23,14415,4941.8,3416.62,3461.72,0,0,0,0,0,58,0,0,0.21,0,0.3,0.39,0,52,0.38,0.67,0.79,0.44,0,0.49,0.11,0,0.99,422,Psychiatry,0.44670672906344,0.44131106784685
2803,Clinical Psychologist,946327730,166,81,4283.17,4250.36,4165.34,4705.13,83,2791.15,2758.34,2703.01,2703.01,83,1.11,0.85,1.07,15,1.31,20,1.18,33,16,52,48,23,0.82,27,0.38,0.39,1.08,422,Psychiatry,0.423398583665354,0.435619730337742
2804,Clinical Psychologist,294976346,731,77,129163.6,59822.8,46385.86,45866.18,0,0,0,0,0,731,1.48,57,26,1.13,26,35,31,75,29,60,74,31,16,36,66,14,1.7,422,Psychiatry,0.499809413634589,0.490311253443249
2805,Clinical Psychologist,683637592,267,98,37385,16266.8,12387.11,14555.19,26,1875,1778.64,1743,1743,241,1.35,1.34,13,1.03,13,14,23,29,21,45,53,21,0.88,30,0.73,0.56,1.26,422,Psychiatry,0.409948638457423,0.43461868883935
2806,Clinical Psychologist,435241070,296,165,27871,12108.39,9780.81,9719.99,103,3918,2161.27,2118.37,2118.37,193,8,10,12,9,16,30,12,18,23,59,55,26,0.96,36,0.51,0.53,1.37,422,Psychiatry,0.41317233174081,0.430079816144257
2807,Clinical Psychologist,568257599,756,181,122906,69061.64,57623.41,56515.25,120,24140,14700.52,14406.56,14406.56,636,11,12,13,9,17,26,9,35,18,56,60,24,19,35,1.99,2,1.1,422,Psychiatry,0.505879039763778,0.485140929619175
2808,Clinical Psychologist,403701559,1162,785,138526,38893.85,29332.82,28613.47,0,0,0,0,0,1162,31,16,21,18,46,50,22,34,41,63,75,68,10,40,8,13,2.16,422,Psychiatry,0.474989412759113,0.462600985078033
2809,Clinical Psychologist,359537362,2170,518,327250,176318.41,127512.03,125696.43,64,3200,243.2,188.03,188.03,2106,17,7,9,11,13,22,12,21,24,60,67,27,11,61,3,6,1.22,422,Psychiatry,0.445303690740995,0.436548015515804
2810,Clinical Psychologist,557169461,599,238,133881,54842.08,41696.6,41530.78,0,0,0,0,0,599,16,11,15,38,33,56,17,31,40,60,75,45,5,35,6,7,2.16,422,Psychiatry,0.427294300369856,0.461285551427617
2811,Clinical Psychologist,580758850,86,12,13800,8333.94,6533.82,6507.56,0,0,0,0,0,86,0.24,0.26,0.24,0.18,0,0.47,0.28,0.52,0.45,75,0.93,0.52,0.14,0.56,0.15,0.11,1.12,422,Psychiatry,0.438532966422191,0.45419516832358803
2812,Clinical Psychologist,611390670,296,140,84708,17532.86,12513.47,12769.08,0,0,0,0,0,296,19,16,11,11,22,39,14,34,36,55,69,40,0.41,39,11,8,1.73,422,Psychiatry,0.40485475397127,0.423075645705182
2813,Clinical Psychologist,441276278,114,53,3508.63,3500.51,3430.56,4201.8,57,2839.5,2833.6,2776.8,2776.8,57,1.05,0.82,1.02,0.92,1.22,21,1.12,21,2.29,43,60,28,0.79,28,0.37,0.36,0.82,422,Psychiatry,0.424000131853424,0.460481188822471
2814,Clinical Psychologist,346134183,563,305,59090,27498.84,20846.48,20700.62,0,0,0,0,0,563,5,5,10,8,5,7,9,27,15,47,48,11,12,28,0.79,0.75,0.86,422,Psychiatry,0.39886119974274,0.411512081280532
2815,Clinical Psychologist,244847989,1736,159,153930,115751.65,84243.46,83293.13,18,900,412.87,404.6,404.6,1718,3.87,4.17,18,2.96,5.84,10,16,52,37,34,52,16,2.28,36,2.32,1.8,1.23,422,Psychiatry,0.423683211990009,0.45818246212472
2816,Clinical Psychologist,308416884,279,120,79765,23809.36,17554.92,17180.5,0,0,0,0,0,279,14,13,16,13,26,56,9,31,75,62,75,53,9,43,0.39,0.36,2.43,422,Psychiatry,0.429827975834495,0.438920899774033
2817,Clinical Psychologist,149215832,308,14,16363.12,10903.22,7414.94,8056.78,0,0,0,0,0,308,0,0,0.44,0.29,0,0,0.52,1,0.79,1.35,1.59,0.91,0.24,0.98,0.31,0.21,1.05,422,Psychiatry,0.443052377264964,0.462982896195146
2818,Clinical Psychologist,311570558,116,115,74844.8,20950.79,16366.1,16305.17,0,0,0,0,0,116,18,15,21,15,36,51,30,31,37,62,73,51,0.41,43,0.35,0.32,2.24,422,Psychiatry,0.42999595357978,0.440917810537848
2819,Clinical Psychologist,143974149,400,367,137116,70056.32,54500.04,54244.53,0,0,0,0,0,400,31,30,32,16,48,52,44,47,46,73,75,57,13,48,14,15,2.27,422,Psychiatry,0.465822399172964,0.500958070759256
2820,Clinical Psychologist,675368157,1952,346,868852.76,359851.05,275387.1,271799.22,413,515726.76,238307.33,186367.9,186367.9,1539,15,8,10,11,18,30,12,18,40,63,75,34,10,38,1.54,4,1.4,422,Psychiatry,0.608946582942027,0.560212206913373
2821,Clinical Psychologist,398993208,896,121,102311,77106.99,56841.74,54239.54,0,0,0,0,0,896,2.37,10,12,1.89,3.54,14,12,75,23,43,34,11,1.4,27,38,1.09,1.26,422,Psychiatry,0.457645658526805,0.464708446971487
2822,Clinical Psychologist,744646915,592,54,24796,22306.52,16269.19,16009.45,0,0,0,0,0,592,0.81,0.85,0.8,0.62,1.21,1.55,0.93,26,20,52,50,26,0.48,41,0,0.37,0.75,422,Psychiatry,0.383868007192265,0.395411111644948
2823,Clinical Psychologist,107112954,155,70,162194,22727.18,17778.89,18249.34,0,0,0,0,0,155,0.21,0.2,0.24,0.17,0.34,20,0.27,33,27,59,63,24,0.13,47,0.12,0.11,1.15,422,Psychiatry,0.381283019586734,0.401670907551333
2824,Clinical Psychologist,776957499,320,64,31976,22476.85,15671.31,15332.39,34,511,511,497.64,497.64,286,1.04,1,1.03,0.84,1.48,22,1.17,2.13,55,75,75,38,0.65,42,0,0,1.22,422,Psychiatry,0.403545289404731,0.435923161265613
2825,Clinical Psychologist,728682399,1098,187,154157,102059.18,75599.47,75027.76,67,1616,894.91,868.56,868.56,1031,10,7,12,10,14,30,9,24,40,61,62,22,7,29,2.11,1.68,1.09,422,Psychiatry,0.398619130664639,0.42811280658841
2826,Clinical Psychologist,948702901,930,417,228820,89311.42,65483.26,65696.27,0,0,0,0,0,930,14,13,18,30,33,46,17,29,34,53,73,39,12,37,3,7,2.13,422,Psychiatry,0.411374801172979,0.439772098871786
2827,Colorectal Surgery (formerly proctology),237129513,608,288,742361.5,158753.21,123322.85,123659.91,0,0,0,0,0,608,16,22,22,16,28,41,25,46,41,70,75,39,16,64,11,26,1.59,30,Surgery,0.456838127345803,0.485315390591543
2828,Colorectal Surgery (formerly proctology),141957683,801,24,43700,23107.31,17628.52,16054.67,0,0,0,0,0,801,0.42,0.38,0.39,0.38,0,0.8,0.44,58,0.82,1.55,1.82,0.96,0.26,46,0,0,1.01,30,Surgery,0.452666088759758,0.475068162013739
2829,Colorectal Surgery (formerly proctology),330716557,167,164,75942.6,16868.38,13189.39,13153.03,0,0,0,0,0,167,16,14,18,11,20,27,15,27,43,66,75,48,9,51,0.33,0.33,1.55,30,Surgery,0.402425207821853,0.420835454009296
2830,Colorectal Surgery (formerly proctology),262873100,275,120,31884,20451.61,15102.94,15838.93,0,0,0,0,0,275,0.98,18,18,0.73,1.49,20,13,73,27,36,48,18,0.57,18,63,0.46,1.38,30,Surgery,0.457790858145725,0.465606960880312
2831,Colorectal Surgery (formerly proctology),779642196,452,219,12649.74,12614.34,12362.02,13803.97,226,8634.79,8599.39,8426.77,8426.77,226,10,5,5,11,6,12,11,14,23,64,65,26,7,32,1.12,1.15,0.86,30,Surgery,0.453031413895934,0.49148278874587
2832,Colorectal Surgery (formerly proctology),279681517,728,140,601765,106067.32,82523.19,83438.41,0,0,0,0,0,728,11,8,20,0.72,41,75,19,53,65,54,75,50,0.55,32,8,10,6.02,30,Surgery,0.472761361356898,0.505013601825668
2833,Colorectal Surgery (formerly proctology),439207684,456,92,118018.5,37134.93,27774.04,27081.62,46,3359,1899.6,1858.62,1858.62,410,1.46,1.27,14,1.25,16,20,13,29,26,55,64,27,0.98,47,0.63,0.59,1.22,30,Surgery,0.407542855356466,0.419177533629958
2834,Colorectal Surgery (formerly proctology),332591285,492,166,77422,25168.94,18957.83,16910.77,0,0,0,0,0,492,7,0.62,14,61,7,16,7,36,24,50,57,20,8,27,0.28,0.36,1.14,30,Surgery,0.408664099615824,0.451395955024635
2835,Colorectal Surgery (formerly proctology),778263452,138,116,17946.73,6288.41,5017.85,5820.87,0,0,0,0,0,138,12,0.56,13,17,0.86,13,10,26,26,72,75,29,0.34,46,0.32,0.26,1.15,30,Surgery,0.380114061693768,0.443513663991196
2836,Colorectal Surgery (formerly proctology),671708967,3552,470,360440,226516.53,175629.46,173298.96,324,31495,28611.34,27590.56,27590.56,3228,13,9,13,12,16,20,9,19,19,59,69,28,6,31,5.63,5,1.04,30,Surgery,0.5619385907898,0.535677243547255
2837,Colorectal Surgery (formerly proctology),677722177,836,90,45080,28030.32,20710.77,20668.07,0,0,0,0,0,836,1,1.05,14,0.76,1.51,1.93,1.16,30,24,54,58,18,0.59,48,0.58,0.46,0.75,30,Surgery,0.387788081948979,0.424343038558499
2838,Colorectal Surgery (formerly proctology),215166714,5011,583,1288843,383268.31,291609.3,281704.8,2540,139080,72041.36,56124.77,56124.77,2471,16,12,14,11,17,26,17,24,22,51,67,31,11,68,5,5,1.3,30,Surgery,0.627853498133393,0.590679446924482
2839,Colorectal Surgery (formerly proctology),697934315,61,15,4514,1720.57,1686.12,1445.55,0,0,0,0,0,61,0,0,0.03,0.04,0.05,0.07,0.04,0.04,75,73,75,0.09,0,0.11,0,0.01,1.8,30,Surgery,0.428895287871498,0.465904360364381
2840,Colorectal Surgery (formerly proctology),190472118,323,122,56946,19080.15,14961.9,16972.51,26,1534,1054.74,1029.05,1029.05,297,11,1.22,16,13,16,28,13,19,30,75,75,31,0.75,52,0.68,0.52,1.06,30,Surgery,0.399449627922786,0.445501901529642
2841,Colorectal Surgery (formerly proctology),641536607,39,35,11243,3248.17,2470.68,2784.58,0,0,0,0,0,39,0.21,0.21,0.22,0.15,0.32,34,0.25,31,0.38,49,69,40,0.12,37,0.12,0.1,1.83,30,Surgery,0.409938232758017,0.429510514617233
2842,Colorectal Surgery (formerly proctology),488182990,163,33,19560,13086.85,9897.15,9200.89,0,0,0,0,0,163,0.4,0.37,0.39,0.34,0.58,0,0.44,61,33,1.41,33,0.89,0.24,1,0.19,0.18,0.96,30,Surgery,0.436056950502627,0.443247364885795
2843,Colorectal Surgery (formerly proctology),468544775,1194,188,614690,131522.96,100698.04,98723.79,263,22790,14594.8,11357.69,11357.69,931,7,7,9,14,16,18,6,26,20,58,70,25,11,72,0.7,0.69,1.2,30,Surgery,0.517029591182341,0.49426330105355
2844,Colorectal Surgery (formerly proctology),154187763,123,11,16930,10798.57,8107.01,8037.56,0,0,0,0,0,123,0,0,0.32,0.24,0,0,0.37,0.69,0,1.05,1.23,0,0.18,0.75,0,0,0.79,30,Surgery,0.452435000374477,0.462743407383004
2845,Colorectal Surgery (formerly proctology),149840474,328,157,7539.36,7362.95,7215.62,8288.4,164,4450.16,4273.75,4188.4,4188.4,164,10,1.43,8,8,11,15,11,29,30,64,63,22,1.35,30,0.66,0.65,1.13,30,Surgery,0.432654725578925,0.463116772947459
2846,Colorectal Surgery (formerly proctology),914655641,948,204,158682,82303.88,62824.93,61351.29,48,5461,4283.45,4197.87,4197.87,900,31,48,23,16,48,61,35,55,35,69,75,53,32,50,15,14,2.18,30,Surgery,0.501316046848405,0.55160917088458306
2847,Colorectal Surgery (formerly proctology),933824888,266,91,36190,24635.14,18453.17,21389.86,0,0,0,0,0,266,1.23,1.51,18,0.81,1.97,13,1.54,74,25,41,34,13,0.69,24,20,0.6,1.06,30,Surgery,0.440604920063367,0.46933785085199897
2848,Colorectal Surgery (formerly proctology),178970520,1434,37,80755,40145.66,30483.84,28040.76,0,0,0,0,0,1434,0.73,0.68,0.67,0.63,1.04,1.38,0.77,1.37,1.4,54,65,1.64,0.45,62,0,0.32,1.29,30,Surgery,0.433179138074704,0.451084406700579
2849,Colorectal Surgery (formerly proctology),937678672,1492,608,328145.64,132128.11,102933.2,102539.91,0,0,0,0,0,1492,36,38,25,21,48,66,42,45,39,69,75,61,15,47,16,17,2.29,30,Surgery,0.498878671464315,0.544460826123546
2850,Colorectal Surgery (formerly proctology),884031834,47,47,16483,4119.48,3229.78,3525.28,0,0,0,0,0,47,0.25,0,0.26,68,0.38,49,0.3,0.52,28,53,68,30,0.15,28,0,0.12,1.11,30,Surgery,0.43407847369273,0.457241738480984
2851,Colorectal Surgery (formerly proctology),753935230,147,147,125400.8,24948.22,19455.4,19609.13,0,0,0,0,0,147,13,0.61,20,10,13,25,13,37,29,52,75,27,12,54,0.33,0.31,1.54,30,Surgery,0.389486591936478,0.406449349070679
2852,Colorectal Surgery (formerly proctology),928983504,1082,259,151309.01,58411.62,46886.89,52505.01,273,12242.01,8622.65,8428.99,8428.99,809,10,9,9,10,7,18,10,19,28,54,68,20,8,34,2.27,1.85,1.07,30,Surgery,0.452853225946368,0.479359610186161
2853,Colorectal Surgery (formerly proctology),488385316,172,92,55534,17584.29,12501.43,12715.8,0,0,0,0,0,172,15,0.72,14,15,27,42,20,37,26,47,59,35,0.43,35,0.4,0.34,2.12,30,Surgery,0.398039439428075,0.423873181351249
2854,Colorectal Surgery (formerly proctology),394469859,441,219,313655,117846.61,88781.61,89680.24,0,0,0,0,0,441,10,7,17,13,12,20,14,35,39,54,69,24,5,39,2.11,1.61,1.25,30,Surgery,0.375543885966686,0.421104113880423
2855,Colorectal Surgery (formerly proctology),750326364,381,48,28365,16255.93,11599.92,11027.63,0,0,0,0,0,381,0.56,0.54,0,0.45,0.82,1.07,0,27,1.05,42,27,1.24,0.34,29,0.29,0.25,0.76,30,Surgery,0.408395020271796,0.438291804448898
2856,Colorectal Surgery (formerly proctology),713770441,2655,553,265280,171879.22,133134.78,128511.33,0,0,0,0,0,2655,17,12,11,11,18,30,13,16,33,59,71,33,11,45,3.03,4,1.42,30,Surgery,0.432441096425803,0.446743771840771
2857,Critical Care (Intensivists),986200396,514,48,79434,32500.33,24592.93,24704.55,0,0,0,0,0,514,40,75,0.87,0.64,60,44,1.02,75,58,65,75,52,0.5,60,31,0.41,2.44,53,Emergency Medicine,0.507653794412062,0.515091433558147
2858,Critical Care (Intensivists),384396153,5079,1885,885435.4,408297.21,306799.72,286713.36,165,12169,8037.63,6340.46,6340.46,4914,34,19,20,17,45,43,28,29,32,73,75,58,11,38,9,12,1.8,53,Emergency Medicine,0.595195399775604,0.597236436162429
2859,Critical Care (Intensivists),418031683,524,121,313133.39,104030.7,80134.74,80838.08,0,0,0,0,0,524,12,2.66,2.41,1.74,34,75,12,26,60,56,75,56,1.34,24,1.54,1.13,6.65,53,Emergency Medicine,0.462214407234635,0.456941729055993
2860,Critical Care (Intensivists),852936663,2500,54,143050,62244.55,48355.83,45391.95,0,0,0,0,0,2500,0.97,0.96,0.9,0.82,1.41,1.84,1.04,1.88,22,63,67,30,0.59,57,0.48,0.44,1.02,53,Emergency Medicine,0.425811539192682,0.434027921987936
2861,Critical Care (Intensivists),870100948,104,39,7236,6383.96,4613.69,5002.98,0,0,0,0,0,104,0.36,0.39,0.37,0.26,0.55,31,33,38,44,59,75,0.77,0.21,0.84,0.22,0.17,1.34,53,Emergency Medicine,0.403005475992816,0.46362853297942
2862,Critical Care (Intensivists),104927993,492,141,182822,54221.66,40936.29,39676.63,49,1759,1033.03,891.75,891.75,443,16,10,25,16,26,38,54,43,27,47,59,38,18,35,0.69,0.64,2.56,53,Emergency Medicine,0.442707174634362,0.480971166699768
2863,Critical Care (Intensivists),395615646,1036,349,177345,70600.26,63727.32,63373.32,0,0,0,0,0,1036,5,3,9,9,5,14,3,21,16,44,56,17,10,37,1,0.87,0.84,53,Emergency Medicine,0.394778435771483,0.431448421024818
2864,Critical Care (Intensivists),157561746,201,146,209229.78,30143.76,23099.44,22967.96,0,0,0,0,0,201,12,15,16,24,16,25,20,75,17,49,64,28,9,32,25,0.21,1.67,53,Emergency Medicine,0.424795205828007,0.442607872679479
2865,Critical Care (Intensivists),124687725,623,255,369381,106064.94,82805.63,83043.65,0,0,0,0,0,623,25,27,24,15,41,58,25,45,41,65,75,53,13,44,12,27,2.43,53,Emergency Medicine,0.437907372634807,0.472909050696012
