Doctor Identifier,Provider Type,Number of Services,Number of Beneficiaries,Total Submitted Charge Amount,Total Allowed Amount,Total Payment Amount,Total Standardized Payment Amount,Number of Drug Services,Total Drug Submitted Charge Amount,Total Drug Allowed Amount ,Total Drug Payment Amount ,Total Drug Standardized Payment Amount,Number of Medical Services,Percent Atrial Fibrillation,Percent Alzheimer’s Disease or Dementia ,Percent Asthma ,Percent Cancer ,Percent Heart Failure ,Percent Chronic Kidney Disease,Percent Chronic Obstructive Pulmonary Disease,Percent Depression ,Percent Diabetes ,Percent Hyperlipidemia ,Percent Hypertension ,Percent Ischemic Heart Disease ,Percent Osteoporosis ,Percent Rheumatoid Arthritis or Osteoarthritis ,Percent Schizophrenia or Other Psychotic Disorders ,Percent Stroke ,Average HCC Risk Score of Beneficiaries 
460954361,Orthopedic Surgery,163,19,24060.0,11581.39,8964.49,8758.2,0,0.0,0.0,0.0,0.0,163,0.3,0.32,0.3,0.24,0.46,0.58,0.35,75.0,0.57,1.02,1.19,0.66,0.0,0.73,0.0,0.14,1.42
344787185,Rheumatology,12966,54,1040365.0,333468.64,261438.84,267303.01,0,0.0,0.0,0.0,0.0,12966,30.0,35.0,31.0,3.06,59.0,61.0,39.0,52.0,52.0,67.0,75.0,63.0,2.6,67.0,3.87,2.37,4.29
582860533,Anesthesiology,37,19,5025.0,2011.46,1418.96,1408.38,0,0.0,0.0,0.0,0.0,37,0.12,75.0,0.12,0.1,75.0,0.24,0.14,75.0,0.23,75.0,75.0,74.0,0.08,0.31,0.06,0.06,3.44
116916043,Centralized Flu,130,53,35446.0,11913.81,9340.2,8979.86,0,0.0,0.0,0.0,0.0,130,23.0,32.0,30.0,23.0,45.0,55.0,28.0,55.0,58.0,55.0,75.0,43.0,0.2,60.0,0.16,0.15,2.63
479399935,CRNA,65,15,13878.0,2693.95,2107.83,2061.19,0,0.0,0.0,0.0,0.0,65,0.0,0.05,0.06,0.0,0.08,0.11,0.07,75.0,0.11,0.21,0.24,0.13,0.0,0.15,0.0,0.0,1.89
687957136,Internal Medicine,2345,1074,231081.0,101641.1,78279.59,77617.28,0,0.0,0.0,0.0,0.0,2345,29.0,19.0,24.0,14.0,34.0,33.0,24.0,35.0,31.0,61.0,75.0,47.0,9.0,41.0,7.0,11.0,1.59
229513314,Emergency Medicine,240,110,30561.5,25162.68,18720.53,18519.14,63,475.0,316.47,248.14,248.14,177,21.0,15.0,23.0,21.0,16.0,33.0,20.0,40.0,29.0,65.0,72.0,29.0,17.0,65.0,0.61,0.52,1.27
658701607,Nurse Practitioner,3583,253,414127.0,293527.61,225853.7,227448.68,0,0.0,0.0,0.0,0.0,3583,33.0,40.0,25.0,19.0,53.0,52.0,36.0,48.0,35.0,63.0,75.0,58.0,15.0,55.0,12.0,13.0,2.34
845919656,Diagnostic Radiology,240,102,64811.0,19355.27,13593.81,13099.41,0,0.0,0.0,0.0,0.0,240,0.73,0.66,0.73,11.0,16.0,18.0,11.0,31.0,20.0,35.0,54.0,22.0,18.0,50.0,0.35,0.33,1.16
647933738,Emergency Medicine,3016,1296,223581.0,71705.43,65043.79,63819.63,0,0.0,0.0,0.0,0.0,3016,14.0,13.0,12.0,18.0,18.0,21.0,11.0,26.0,21.0,54.0,63.0,25.0,12.0,41.0,4.0,5.0,1.24
962470475,General Surgery,194,131,30982.0,9396.61,7053.11,8420.46,0,0.0,0.0,0.0,0.0,194,48.0,11.0,25.0,11.0,49.0,38.0,24.0,31.0,31.0,75.0,75.0,64.0,10.0,49.0,0.44,9.0,1.62
875180302,Internal Medicine,177,143,30600.0,21191.81,16499.04,16587.2,0,0.0,0.0,0.0,0.0,177,34.0,35.0,20.0,13.0,31.0,49.0,20.0,69.0,39.0,73.0,75.0,50.0,15.0,52.0,23.0,52.0,1.89
630266845,Psychiatry,93,14,19405.0,8254.03,5202.26,5929.77,0,0.0,0.0,0.0,0.0,93,0.37,0.45,0.39,0.0,0.59,0.73,0.0,0.88,0.68,1.15,1.37,0.79,0.21,0.85,0.27,0.0,1.12
932259453,Urology,1332,116,72550.0,54960.76,39189.46,38572.53,0,0.0,0.0,0.0,0.0,1332,13.0,2.06,1.93,10.0,13.0,12.0,2.24,19.0,28.0,63.0,59.0,26.0,1.15,61.0,1.13,0.9,0.81
745785247,Nurse Practitioner,29,25,10715.0,5031.32,3944.52,4183.37,0,0.0,0.0,0.0,0.0,29,0.22,0.24,0.23,0.17,64.0,60.0,0.27,52.0,44.0,72.0,75.0,75.0,0.13,48.0,0.14,0.11,1.98
828562034,Clinical Psychologist,490,117,101669.18,38214.32,29433.25,29140.49,69,9028.34,5417.91,5308.2,5308.2,421,2.58,2.09,13.0,2.25,12.0,9.0,11.0,32.0,23.0,50.0,56.0,22.0,1.84,39.0,0.98,0.95,0.95
789903378,Neurology,244,116,24945.0,18354.56,10772.69,10765.44,0,0.0,0.0,0.0,0.0,244,0.0,1.1,22.0,0.86,1.64,10.0,12.0,72.0,21.0,31.0,32.0,9.0,0.66,22.0,13.0,0.51,1.12
243590290,Psychiatry,5060,807,841127.86,300687.56,221053.29,216170.87,126,42514.36,32789.69,25679.32,25679.32,4934,12.0,6.0,13.0,11.0,13.0,24.0,11.0,22.0,25.0,55.0,63.0,28.0,10.0,35.0,1.0,5.0,1.26
335813587,Licensed Clinical Social Worker,2081,830,402861.25,185030.85,143696.63,142951.43,0,0.0,0.0,0.0,0.0,2081,30.0,32.0,25.0,20.0,44.0,65.0,39.0,43.0,34.0,68.0,75.0,56.0,15.0,50.0,13.0,17.0,2.13
732810385,Internal Medicine,683,199,214368.0,62855.99,49250.84,47574.88,0,0.0,0.0,0.0,0.0,683,30.0,30.0,33.0,18.0,56.0,69.0,30.0,51.0,51.0,57.0,75.0,70.0,21.0,53.0,16.0,15.0,3.17
641397771,Obstetrics/Gynecology,366,224,133585.0,24564.88,19173.66,17195.94,0,0.0,0.0,0.0,0.0,366,9.0,8.0,8.0,33.0,14.0,36.0,10.0,26.0,38.0,52.0,65.0,30.0,10.0,34.0,0.13,6.0,1.94
365560099,Chiropractic,692,181,144384.0,64936.58,49601.6,48871.63,0,0.0,0.0,0.0,0.0,692,13.0,9.0,15.0,12.0,25.0,25.0,15.0,14.0,35.0,18.0,72.0,25.0,7.0,49.0,1.13,0.93,1.23
609668308,Diagnostic Radiology,608,510,165802.0,46784.33,32097.23,31929.96,0,0.0,0.0,0.0,0.0,608,12.0,6.0,18.0,9.0,12.0,23.0,12.0,32.0,28.0,47.0,60.0,31.0,10.0,45.0,6.0,4.0,1.29
628080008,Cardiac Surgery,26,22,15797.0,2820.48,2077.66,2490.06,0,0.0,0.0,0.0,0.0,26,0.14,0.16,0.15,0.09,0.22,0.27,0.17,0.32,0.25,59.0,75.0,0.3,0.08,59.0,0.09,0.07,1.77
302917069,Internal Medicine,317,277,114192.0,38715.83,28537.17,28723.31,0,0.0,0.0,0.0,0.0,317,22.0,14.0,21.0,16.0,23.0,31.0,17.0,40.0,27.0,59.0,69.0,36.0,10.0,41.0,9.0,6.0,1.52
151454209,Physical Therapist,464,74,75409.28,45816.83,35805.15,35353.73,0,0.0,0.0,0.0,0.0,464,36.0,75.0,28.0,15.0,51.0,51.0,34.0,62.0,34.0,57.0,75.0,55.0,0.75,47.0,34.0,0.61,1.99
153460514,Family Practice,2455,54,113844.0,63674.44,48419.75,43662.02,0,0.0,0.0,0.0,0.0,2455,1.1,0.97,0.98,1.0,1.53,2.05,1.12,1.95,2.13,48.0,63.0,22.0,0.68,63.0,0.44,0.48,0.83
323955882,Internal Medicine,471,181,70560.77,39306.01,32114.36,30925.08,88,12455.77,10522.66,10312.19,10312.19,383,15.0,14.0,7.0,15.0,15.0,22.0,7.0,20.0,21.0,62.0,69.0,30.0,12.0,40.0,7.0,8.0,1.12
830159528,Ophthalmology,900,263,163729.8,71215.4,54042.29,51253.2,140,8357.8,6525.18,6202.82,6202.82,760,23.0,29.0,22.0,14.0,40.0,33.0,25.0,32.0,26.0,67.0,75.0,45.0,12.0,48.0,8.0,11.0,1.94
157691707,Anesthesiology,1576,536,443474.9,132526.38,100408.48,100097.93,16,2008.9,1011.09,972.91,972.91,1560,23.0,15.0,37.0,15.0,43.0,46.0,59.0,35.0,38.0,66.0,75.0,48.0,12.0,40.0,10.0,10.0,2.2
342689287,Nurse Practitioner,639,182,86545.0,54208.77,38567.67,46349.89,0,0.0,0.0,0.0,0.0,639,2.84,7.0,21.0,1.82,4.57,10.0,13.0,75.0,20.0,31.0,38.0,7.0,1.58,21.0,28.0,1.4,1.26
311447305,Ophthalmology,761,134,97945.0,53648.5,41855.47,39950.2,79,9587.0,7340.77,7184.54,7184.54,682,13.0,2.72,13.0,3.06,16.0,31.0,13.0,28.0,20.0,49.0,58.0,30.0,11.0,29.0,8.0,1.25,1.27
703647847,Emergency Medicine,1148,194,249925.0,86573.58,64410.23,60898.76,177,7465.0,3901.87,3766.76,3766.76,971,10.0,10.0,8.0,7.0,11.0,21.0,9.0,19.0,29.0,56.0,75.0,21.0,9.0,36.0,1.26,1.25,1.02
975719756,Family Practice,43,24,17654.0,2508.15,1744.8,1645.59,0,0.0,0.0,0.0,0.0,43,0.0,0.05,0.08,0.0,0.11,0.14,0.08,0.13,0.14,0.27,0.32,0.17,0.05,0.0,0.02,0.03,2.72
334203960,Pediatric Medicine,243,20,36440.0,15720.66,11537.94,11592.16,0,0.0,0.0,0.0,0.0,243,0.44,0.49,0.45,0.33,0.0,0.86,0.52,75.0,0.82,1.45,1.71,0.96,0.26,1.05,0.28,0.21,1.37
526459552,Licensed Clinical Social Worker,474,77,58887.0,35537.92,26180.19,26142.56,0,0.0,0.0,0.0,0.0,474,1.2,64.0,1.21,0.91,27.0,42.0,18.0,62.0,36.0,45.0,65.0,26.0,0.7,32.0,38.0,0.56,1.72
182391613,Nurse Practitioner,661,588,265529.0,84700.25,65794.76,76177.53,0,0.0,0.0,0.0,0.0,661,25.0,30.0,22.0,15.0,39.0,43.0,32.0,48.0,31.0,60.0,75.0,47.0,12.0,43.0,16.0,13.0,1.88
382482264,Allergy/Immunology,101,51,73990.0,24738.91,19395.45,18690.97,0,0.0,0.0,0.0,0.0,101,24.0,24.0,0.54,0.45,0.81,35.0,0.63,37.0,37.0,49.0,69.0,45.0,0.32,24.0,0.28,31.0,1.47
447556881,Psychiatry,474,85,59785.45,25243.48,19781.59,19557.36,67,11937.0,5898.39,5775.47,5775.47,407,13.0,1.81,21.0,2.1,2.75,35.0,14.0,20.0,33.0,72.0,68.0,31.0,1.73,33.0,0.81,0.82,1.41
704999221,Neurology,409,101,123893.0,38569.93,28662.11,28109.19,0,0.0,0.0,0.0,0.0,409,0.98,18.0,0.99,0.78,1.48,17.0,1.14,75.0,27.0,36.0,47.0,17.0,0.58,25.0,13.0,0.46,1.43
136393073,Hematology,149,98,34800.0,15820.83,12216.91,11125.99,0,0.0,0.0,0.0,0.0,149,30.0,28.0,26.0,19.0,38.0,48.0,30.0,34.0,47.0,73.0,75.0,64.0,22.0,50.0,0.23,16.0,1.86
163929345,Anesthesiology,2722,970,401464.0,97967.57,76701.0,72371.36,0,0.0,0.0,0.0,0.0,2722,12.0,9.0,18.0,17.0,19.0,29.0,27.0,33.0,39.0,66.0,74.0,35.0,7.0,41.0,5.0,5.0,1.43
310490282,Family Practice,354,294,148141.0,50305.38,39314.03,47971.24,0,0.0,0.0,0.0,0.0,354,18.0,30.0,33.0,13.0,52.0,65.0,44.0,38.0,56.0,75.0,75.0,64.0,7.0,46.0,13.0,20.0,2.6
859573712,Nurse Practitioner,625,75,34245.0,25626.94,17304.17,17197.8,0,0.0,0.0,0.0,0.0,625,1.08,0.0,1.08,0.82,1.61,2.07,1.24,2.27,2.01,41.0,48.0,15.0,0.64,39.0,0.62,0.5,0.71
867016790,Pulmonary Disease,141,12,38275.0,12705.79,9961.32,9691.52,0,0.0,0.0,0.0,0.0,141,0.23,0.24,0.23,0.19,0.35,0.45,0.27,0.49,0.44,0.79,75.0,0.52,0.14,0.56,0.13,0.11,1.72
683467703,Allergy/Immunology,566,229,24845.17,23501.57,23030.91,24813.76,283,19444.57,18100.97,17738.76,17738.76,283,7.0,6.0,7.0,8.0,8.0,18.0,9.0,21.0,28.0,44.0,62.0,23.0,5.0,28.0,6.0,1.94,1.07
163249957,Internal Medicine,479,169,79576.0,18483.44,13250.18,14198.75,249,9384.0,2473.68,1911.65,1911.65,230,12.0,0.92,9.0,11.0,13.0,21.0,9.0,21.0,27.0,60.0,68.0,25.0,11.0,75.0,0.51,0.45,1.19
976906528,Chiropractic,34,31,3012.24,3012.24,2281.82,2354.15,0,0.0,0.0,0.0,0.0,34,0.19,39.0,0.19,0.0,0.28,35.0,0.22,42.0,0.35,39.0,35.0,0.41,0.11,0.45,42.0,0.09,1.95
451008159,Internal Medicine,73,17,5730.0,3023.81,2245.04,2132.19,0,0.0,0.0,0.0,0.0,73,0.0,0.11,0.12,0.0,0.0,0.23,0.14,0.24,0.23,0.42,0.5,0.27,0.0,0.3,0.0,0.05,1.01
538856089,Occupational therapist,395,102,44036.0,19364.29,13191.86,15800.67,0,0.0,0.0,0.0,0.0,395,1.07,23.0,20.0,0.71,11.0,25.0,25.0,75.0,29.0,45.0,45.0,20.0,0.61,35.0,50.0,0.52,1.62
975097585,Optometry,813,236,141816.69,65359.26,49172.29,48422.5,136,13671.0,10699.9,10453.89,10453.89,677,8.0,9.0,12.0,6.0,12.0,22.0,11.0,30.0,34.0,62.0,66.0,28.0,9.0,29.0,1.89,7.0,1.09
801716723,Infectious Disease,2090,250,234799.0,99633.85,83981.9,80402.56,222,45278.0,22899.16,22287.2,22287.2,1868,10.0,6.0,11.0,10.0,9.0,30.0,10.0,22.0,21.0,74.0,60.0,17.0,11.0,36.0,5.0,2.62,0.99
656341015,Psychiatry,2082,736,379730.0,183072.35,142953.5,139909.52,0,0.0,0.0,0.0,0.0,2082,34.0,35.0,25.0,19.0,55.0,61.0,40.0,46.0,40.0,69.0,75.0,56.0,14.0,43.0,18.0,16.0,2.54
651645917,Orthopedic Surgery,590,294,12404.63,12404.63,12156.49,11840.1,293,4505.83,4505.83,4415.1,4415.1,297,12.0,8.0,7.0,13.0,16.0,19.0,9.0,16.0,24.0,53.0,64.0,33.0,9.0,31.0,4.0,0.87,1.16
800001199,Audiologist (billing independently),432,148,66075.0,41124.2,29505.71,29457.45,26,1024.0,877.34,836.72,836.72,406,16.0,8.0,12.0,8.0,12.0,22.0,9.0,22.0,30.0,59.0,65.0,24.0,9.0,39.0,1.02,0.85,0.99
123382867,Orthopedic Surgery,64,16,8716.85,4025.36,2719.45,2707.19,0,0.0,0.0,0.0,0.0,64,0.17,0.0,0.0,0.0,0.26,0.33,0.2,75.0,0.32,0.58,0.68,0.38,0.1,0.42,0.09,0.0,1.13
542670030,Internal Medicine,1028,140,72585.0,36414.2,26002.58,25960.61,0,0.0,0.0,0.0,0.0,1028,11.0,1.43,10.0,14.0,11.0,14.0,11.0,21.0,30.0,69.0,61.0,34.0,0.83,74.0,0.78,0.64,0.94
898359328,Licensed Clinical Social Worker,1658,687,471623.75,173820.1,129238.33,119485.17,0,0.0,0.0,0.0,0.0,1658,16.0,14.0,11.0,12.0,20.0,24.0,13.0,25.0,27.0,53.0,68.0,34.0,10.0,40.0,6.0,5.0,1.34
651720689,Ambulance Service Supplier,208,112,57821.0,17217.02,11975.56,11647.52,0,0.0,0.0,0.0,0.0,208,10.0,0.68,13.0,12.0,1.1,19.0,0.85,26.0,15.0,37.0,65.0,26.0,23.0,42.0,0.36,0.34,1.15
934722691,Pain Management,121,72,16545.0,3542.8,2448.62,2381.54,0,0.0,0.0,0.0,0.0,121,0.29,19.0,0.29,0.24,0.41,32.0,0.32,24.0,19.0,51.0,72.0,32.0,0.18,47.0,0.12,0.13,1.09
637327072,Gastroenterology,433,211,30194.0,13532.42,9351.32,8754.68,0,0.0,0.0,0.0,0.0,433,10.0,13.0,7.0,9.0,16.0,24.0,6.0,22.0,24.0,53.0,62.0,24.0,12.0,37.0,0.43,0.45,1.11
130950711,Mammographic Screening Center,4209,228,202482.0,100923.46,77695.96,73676.71,0,0.0,0.0,0.0,0.0,4209,12.0,2.28,15.0,12.0,7.0,16.0,9.0,20.0,18.0,65.0,64.0,21.0,9.0,64.0,1.17,5.0,0.97
394335986,Podiatry,5100,2365,1688686.01,368783.13,276397.46,272408.89,54,4586.0,2579.4,2028.05,2028.05,5046,24.0,20.0,21.0,13.0,40.0,46.0,29.0,36.0,43.0,75.0,75.0,58.0,12.0,42.0,8.0,11.0,1.92
910392793,Nurse Practitioner,378,113,26310.0,17062.23,12919.14,12928.08,0,0.0,0.0,0.0,0.0,378,0.0,0.78,15.0,0.62,1.17,12.0,0.91,41.0,19.0,25.0,35.0,15.0,0.47,13.0,75.0,0.0,1.18
785139338,Internal Medicine,578,28,87015.0,68501.03,51305.01,54010.6,0,0.0,0.0,0.0,0.0,578,2.27,2.79,2.36,1.56,3.61,4.48,2.8,71.0,4.2,54.0,8.47,4.87,1.28,46.0,0.0,1.11,0.87
290356158,Optometry,255,17,26635.0,17102.91,12940.6,12632.54,0,0.0,0.0,0.0,0.0,255,0.47,0.5,0.46,0.0,0.71,0.9,0.54,75.0,0.88,1.57,1.84,1.02,0.27,1.12,0.28,0.22,1.47
287609869,Ophthalmology,306,121,190892.0,55061.23,42884.16,41918.48,0,0.0,0.0,0.0,0.0,306,31.0,28.0,33.0,19.0,74.0,71.0,52.0,44.0,47.0,55.0,75.0,71.0,21.0,33.0,10.0,10.0,3.4
936374356,Physical Therapist,434,13,57950.0,38157.45,29620.11,29780.39,0,0.0,0.0,0.0,0.0,434,0.0,1.16,1.0,0.72,0.0,0.0,0.0,2.26,0.0,3.23,3.78,0.0,0.56,2.3,0.0,0.48,1.05
850643101,Dermatology,110,63,76690.6,16214.76,12712.33,13020.29,0,0.0,0.0,0.0,0.0,110,32.0,0.39,19.0,0.29,41.0,38.0,29.0,27.0,32.0,70.0,75.0,65.0,0.22,54.0,0.22,0.18,2.08
370147972,CRNA,671,462,416880.0,107378.34,83508.23,83638.47,0,0.0,0.0,0.0,0.0,671,10.0,5.0,11.0,8.0,11.0,20.0,11.0,25.0,24.0,54.0,60.0,25.0,10.0,38.0,1.65,5.0,1.14
211176377,Nurse Practitioner,1159,637,237502.0,120302.01,81901.52,79973.41,0,0.0,0.0,0.0,0.0,1159,13.0,7.0,10.0,12.0,16.0,22.0,12.0,19.0,31.0,68.0,72.0,27.0,10.0,38.0,3.0,4.0,1.17
537842388,Pediatric Medicine,238,83,40129.0,18091.78,13742.13,13732.79,0,0.0,0.0,0.0,0.0,238,0.7,0.7,0.7,0.55,1.05,13.0,0.81,24.0,17.0,47.0,43.0,13.0,0.42,33.0,0.38,0.32,0.83
939097761,Urology,30,30,7805.0,3859.36,3025.81,3004.53,0,0.0,0.0,0.0,0.0,30,37.0,43.0,0.19,0.15,63.0,75.0,37.0,40.0,53.0,75.0,75.0,75.0,0.0,0.46,0.1,0.09,3.03
719331714,Psychiatry,321,18,17260.0,9689.85,7183.91,6925.99,0,0.0,0.0,0.0,0.0,321,0.0,0.28,0.26,0.21,0.0,0.52,0.3,67.0,0.51,0.92,1.08,0.59,0.16,0.66,0.0,0.12,1.63
507711424,Centralized Flu,480,73,83564.0,40396.39,29627.23,28223.8,0,0.0,0.0,0.0,0.0,480,1.12,34.0,19.0,0.91,16.0,30.0,1.27,75.0,37.0,37.0,56.0,25.0,0.67,36.0,55.0,0.52,1.88
702472922,Neurology,1551,237,119731.7,51032.08,35874.69,34825.58,837,2899.7,1395.53,1343.77,1343.77,714,14.0,11.0,15.0,12.0,10.0,17.0,11.0,24.0,18.0,45.0,51.0,23.0,14.0,34.0,7.0,5.0,1.1
454016199,Nephrology,520,266,65305.0,28293.99,22147.11,21718.95,0,0.0,0.0,0.0,0.0,520,5.0,6.0,10.0,10.0,8.0,12.0,11.0,28.0,14.0,44.0,47.0,12.0,14.0,38.0,0.69,0.66,0.89
770289937,Chiropractic,171,141,56985.0,16761.8,13025.16,15361.27,0,0.0,0.0,0.0,0.0,171,12.0,17.0,29.0,10.0,20.0,34.0,24.0,45.0,28.0,56.0,67.0,33.0,15.0,41.0,11.0,0.45,1.6
818220115,Cardiology,44,26,2730.0,1923.04,1103.04,1106.85,0,0.0,0.0,0.0,0.0,44,0.0,0.16,0.17,0.0,0.25,0.32,0.19,69.0,0.32,0.58,42.0,0.37,0.1,0.42,0.08,0.0,1.83
427632105,Licensed Clinical Social Worker,241,232,306569.0,44044.84,33303.25,33547.22,0,0.0,0.0,0.0,0.0,241,7.0,9.0,14.0,16.0,13.0,31.0,7.0,38.0,29.0,52.0,64.0,27.0,9.0,39.0,9.0,0.36,1.32
220496163,Chiropractic,4351,1699,642170.0,183984.03,135435.99,131843.97,0,0.0,0.0,0.0,0.0,4351,33.0,19.0,19.0,17.0,51.0,48.0,24.0,34.0,45.0,74.0,75.0,75.0,9.0,45.0,10.0,10.0,1.95
289789479,Physical Therapist,1393,510,74825.28,69243.5,67858.7,67116.95,696,50857.8,50706.63,49691.95,49691.95,697,12.0,7.0,10.0,12.0,9.0,20.0,13.0,20.0,26.0,47.0,59.0,24.0,8.0,31.0,4.0,3.0,1.03
510903485,Orthopedic Surgery,222,11,25140.0,14378.66,10688.71,10603.86,0,0.0,0.0,0.0,0.0,222,0.39,0.44,0.4,0.3,0.0,0.77,0.46,0.87,0.74,1.31,1.53,0.86,0.23,0.94,0.25,0.0,1.48
599883007,Mass Immunization Roster Biller,4782,2912,345293.0,112533.61,90954.3,90663.41,0,0.0,0.0,0.0,0.0,4782,16.0,14.0,18.0,15.0,20.0,28.0,20.0,32.0,24.0,56.0,66.0,30.0,14.0,40.0,7.0,7.0,1.41
969337407,Nurse Practitioner,1008,875,439591.01,156971.86,122232.35,120490.15,0,0.0,0.0,0.0,0.0,1008,24.0,30.0,23.0,14.0,39.0,46.0,33.0,47.0,35.0,63.0,75.0,51.0,14.0,44.0,19.0,13.0,2.12
298935591,Psychiatry,5617,738,640180.0,313400.91,242016.94,284841.38,0,0.0,0.0,0.0,0.0,5617,31.0,59.0,26.0,15.0,54.0,50.0,39.0,64.0,49.0,64.0,75.0,52.0,15.0,52.0,36.0,18.0,2.68
616689544,Orthopedic Surgery,198,17,12870.0,8365.33,6322.18,6113.3,0,0.0,0.0,0.0,0.0,198,0.25,0.0,0.0,0.0,0.37,0.48,0.28,0.51,0.47,0.85,0.99,0.54,0.0,65.0,0.0,0.0,1.08
572531569,Physical Therapist,8095,4349,833542.0,268177.58,206756.18,207702.29,0,0.0,0.0,0.0,0.0,8095,17.0,16.0,17.0,17.0,23.0,32.0,21.0,33.0,29.0,60.0,70.0,36.0,12.0,40.0,9.0,8.0,1.47
356525032,Diagnostic Radiology,72,67,123998.2,19223.74,15006.26,14918.39,0,0.0,0.0,0.0,0.0,72,16.0,0.19,21.0,31.0,21.0,42.0,0.27,27.0,31.0,63.0,75.0,43.0,0.14,46.0,0.1,0.11,2.06
830596715,Neurology,3106,1613,412547.0,114564.77,86946.93,87116.96,0,0.0,0.0,0.0,0.0,3106,16.0,17.0,23.0,14.0,27.0,33.0,26.0,41.0,30.0,50.0,67.0,31.0,9.0,38.0,8.0,9.0,1.66
829507419,Anesthesiology,2378,278,442087.1,178723.2,136387.33,137385.73,206,5305.1,2187.11,2079.79,2079.79,2172,18.0,10.0,21.0,19.0,19.0,20.0,12.0,10.0,31.0,75.0,72.0,26.0,11.0,33.0,3.16,2.44,1.34
535617298,Internal Medicine,829,291,223007.0,54793.21,41724.57,49375.06,0,0.0,0.0,0.0,0.0,829,19.0,32.0,25.0,13.0,31.0,47.0,27.0,75.0,31.0,51.0,68.0,42.0,16.0,33.0,29.0,8.0,2.04
714507341,Anesthesiology,343,193,82544.0,23910.26,18550.7,17765.06,0,0.0,0.0,0.0,0.0,343,13.0,14.0,13.0,11.0,17.0,25.0,14.0,28.0,32.0,55.0,71.0,32.0,10.0,38.0,0.4,16.0,1.49
676155581,Rheumatology,80,80,34128.0,7725.84,6249.97,6300.37,0,0.0,0.0,0.0,0.0,80,0.34,0.3,15.0,0.28,0.5,26.0,15.0,29.0,29.0,63.0,74.0,33.0,0.21,43.0,0.16,0.15,1.24
776723807,Chiropractic,131,68,84613.0,28463.41,22315.54,21920.44,0,0.0,0.0,0.0,0.0,131,40.0,29.0,29.0,26.0,59.0,66.0,50.0,43.0,46.0,75.0,75.0,63.0,0.41,37.0,18.0,24.0,3.1
949200023,Gastroenterology,17711,1368,363763.5,240141.91,186936.65,171283.53,15862,7839.5,3445.58,2701.2,2701.2,1849,8.0,6.0,14.0,15.0,12.0,26.0,14.0,24.0,25.0,52.0,58.0,29.0,9.0,37.0,3.0,4.0,1.16
838065085,Psychiatry,4029,1737,441690.0,128540.93,94178.29,92832.53,82,7780.0,6033.04,5563.32,5563.32,3947,27.0,30.0,18.0,16.0,38.0,42.0,22.0,34.0,24.0,64.0,75.0,46.0,15.0,45.0,10.0,12.0,1.82
676262254,Family Practice,306,145,38123.98,12887.93,9266.44,10767.42,36,292.38,76.96,60.3,60.3,270,0.9,8.0,17.0,9.0,15.0,24.0,13.0,37.0,21.0,57.0,56.0,32.0,11.0,46.0,0.54,0.42,1.12
430251631,Licensed Clinical Social Worker,1189,630,1055755.0,130056.84,101090.32,101841.24,0,0.0,0.0,0.0,0.0,1189,15.0,25.0,30.0,9.0,25.0,35.0,25.0,48.0,37.0,51.0,70.0,39.0,8.0,37.0,18.0,7.0,1.93
124197620,Anesthesiology,395,46,129333.0,20141.38,15095.06,15218.1,0,0.0,0.0,0.0,0.0,395,0.18,0.18,0.2,0.14,0.28,0.36,0.22,75.0,33.0,43.0,48.0,0.41,0.11,35.0,0.1,0.0,1.45
549688253,Physical Therapist,197,12,26705.0,18654.71,14248.21,14318.44,0,0.0,0.0,0.0,0.0,197,0.54,0.0,0.54,0.39,0.83,1.05,0.64,1.2,1.0,1.76,2.06,1.16,0.0,1.25,0.0,0.26,4.55
923660048,Orthopedic Surgery,1342,639,389525.37,115598.9,88355.32,87939.84,0,0.0,0.0,0.0,0.0,1342,20.0,15.0,47.0,16.0,37.0,39.0,55.0,40.0,38.0,59.0,75.0,54.0,8.0,44.0,9.0,8.0,2.09
422232224,Nurse Practitioner,474,22,21205.0,13987.76,10966.42,10378.19,0,0.0,0.0,0.0,0.0,474,0.32,0.0,0.3,0.0,0.47,0.0,0.35,0.64,0.61,1.12,1.31,0.71,0.19,64.0,0.17,0.14,0.81
831181903,Neurology,1215,456,754567.0,190160.92,143059.84,141250.2,0,0.0,0.0,0.0,0.0,1215,17.0,11.0,20.0,13.0,26.0,25.0,20.0,36.0,34.0,62.0,72.0,52.0,11.0,39.0,6.0,6.0,1.39
456190476,Hematology,965,263,176915.0,85242.78,67802.87,64159.9,46,8425.0,5854.39,5734.1,5734.1,919,15.0,7.0,13.0,10.0,14.0,23.0,17.0,24.0,27.0,65.0,67.0,27.0,14.0,37.0,1.5,4.0,1.24
884563364,Ophthalmology,91,82,92081.0,22795.43,17756.37,16916.84,0,0.0,0.0,0.0,0.0,91,15.0,22.0,29.0,23.0,38.0,41.0,39.0,49.0,35.0,75.0,75.0,52.0,0.31,49.0,0.22,20.0,2.38
106333806,Diagnostic Radiology,3208,1616,328018.0,92320.69,76348.71,74699.32,0,0.0,0.0,0.0,0.0,3208,19.0,18.0,16.0,20.0,27.0,30.0,19.0,37.0,26.0,52.0,67.0,33.0,13.0,41.0,9.0,8.0,1.56
455076205,Internal Medicine,1135,295,271347.0,75544.74,57563.64,55513.14,0,0.0,0.0,0.0,0.0,1135,13.0,11.0,11.0,13.0,20.0,26.0,11.0,25.0,27.0,39.0,62.0,33.0,7.0,37.0,4.0,6.0,1.58
